Campo(T.m)	Ang(rad)	X(um)	Y(um)	Temp(C)
-360.67957	6.87E-05	8.057	24.543	23.478
-360.67909	6.90E-05	8.060	24.523	23.504
-360.67876	6.94E-05	8.060	24.514	23.474
-360.67886	6.89E-05	8.042	24.510	23.470
-360.67893	6.87E-05	8.041	24.520	23.464
-360.67890	6.92E-05	8.049	24.495	23.478
-360.67976	6.91E-05	8.058	24.475	23.484
-360.67950	6.94E-05	8.070	24.472	23.490
-360.67915	6.87E-05	8.058	24.467	23.468
-360.67897	6.87E-05	8.054	24.461	23.454
-360.67899	6.91E-05	8.048	24.446	23.442
-360.67931	6.84E-05	8.050	24.422	23.454
-360.67966	6.84E-05	8.052	24.415	23.461
-360.67967	6.88E-05	8.052	24.404	23.449
-360.67962	6.91E-05	8.056	24.397	23.445
-360.67956	6.89E-05	8.051	24.387	23.453
-360.67951	6.85E-05	8.050	24.374	23.466
-360.68014	6.90E-05	8.040	24.355	23.480
-360.67997	6.90E-05	8.052	24.341	23.516
-360.67960	6.86E-05	8.058	24.334	23.526
-360.68015	6.92E-05	8.060	24.328	23.519
-360.67985	6.95E-05	8.063	24.318	23.501
-360.68017	6.91E-05	8.066	24.308	23.508
-360.68001	6.81E-05	8.054	24.318	23.480
-360.67975	6.86E-05	8.055	24.309	23.478
-360.67974	6.88E-05	8.033	24.289	23.506
-360.67973	6.84E-05	8.035	24.281	23.515
-360.67978	6.86E-05	8.044	24.285	23.521
-360.67978	6.85E-05	8.051	24.277	23.525
-360.67969	6.89E-05	8.068	24.282	23.518
-360.67962	6.97E-05	8.065	24.267	23.539
-360.67985	6.91E-05	8.052	24.256	23.546
-360.67993	6.85E-05	8.053	24.236	23.540
-360.67972	6.88E-05	8.053	24.226	23.537
-360.67942	6.96E-05	8.062	24.223	23.587
-360.67948	6.87E-05	8.067	24.212	23.576
-360.67959	6.93E-05	8.071	24.195	23.585
-360.67940	6.88E-05	8.074	24.195	23.592
-360.67923	6.89E-05	8.064	24.183	23.582
-360.67941	6.82E-05	8.046	24.178	23.561
-360.67933	6.89E-05	8.044	24.177	23.554
-360.67921	6.86E-05	8.051	24.158	23.543
-360.67925	6.85E-05	8.040	24.157	23.526
-360.67922	6.79E-05	8.052	24.142	23.530
-360.67931	6.88E-05	8.038	24.145	23.531
-360.67907	6.84E-05	8.029	24.135	23.536
-360.67904	6.87E-05	8.034	24.149	23.522
-360.67896	6.86E-05	8.026	24.124	23.510
-360.67933	6.83E-05	8.020	24.121	23.516
-360.67881	6.81E-05	8.035	24.116	23.502
-360.67943	6.86E-05	8.032	24.106	23.508
-360.67869	6.84E-05	8.031	24.096	23.502
