Campo(T.m)	Ang(rad)	X(um)	Y(um)	Temp(C)
-360.66424	6.90E-05	8.049	24.923	23.264
-360.66775	6.85E-05	8.059	24.939	23.295
-360.67028	6.79E-05	8.064	24.922	23.302
-360.67180	6.89E-05	8.073	24.938	23.323
-360.67251	6.84E-05	8.078	24.956	23.357
-360.67368	6.86E-05	8.077	24.964	23.375
-360.67373	6.82E-05	8.083	24.958	23.382
-360.67497	6.81E-05	8.088	24.967	23.363
-360.67507	6.81E-05	8.088	24.958	23.371
-360.67497	6.82E-05	8.078	24.959	23.377
-360.67519	6.88E-05	8.078	24.949	23.418
-360.67619	6.85E-05	8.072	24.954	23.391
-360.67574	6.87E-05	8.075	24.968	23.411
-360.67655	6.85E-05	8.093	24.976	23.413
-360.67654	6.85E-05	8.085	24.970	23.454
-360.67713	6.83E-05	8.097	24.976	23.456
-360.67635	6.90E-05	8.099	24.976	23.467
-360.67731	6.83E-05	8.085	24.987	23.473
-360.67679	6.89E-05	8.097	24.994	23.479
-360.67752	6.81E-05	8.099	24.987	23.460
-360.67715	6.89E-05	8.075	24.987	23.462
-360.67706	6.90E-05	8.077	24.985	23.457
-360.67723	6.89E-05	8.092	24.983	23.462
-360.67771	6.81E-05	8.087	24.981	23.473
-360.67752	6.93E-05	8.101	24.979	23.469
-360.67749	6.83E-05	8.096	24.970	23.482
-360.67707	6.85E-05	8.088	24.982	23.484
-360.67744	6.87E-05	8.081	24.997	23.449
-360.67767	6.78E-05	8.076	24.976	23.435
-360.67778	6.87E-05	8.085	24.974	23.445
-360.67838	6.84E-05	8.083	24.980	23.433
-360.67814	6.90E-05	8.088	24.979	23.460
-360.67745	6.87E-05	8.084	24.971	23.462
-360.67820	6.85E-05	8.079	24.949	23.445
-360.67830	6.88E-05	8.079	24.954	23.428
-360.67793	6.91E-05	8.087	24.939	23.432
-360.67791	6.88E-05	8.094	24.934	23.449
-360.67833	6.89E-05	8.088	24.941	23.436
-360.67874	6.89E-05	8.090	24.933	23.437
-360.67869	6.86E-05	8.064	24.922	23.429
-360.67837	6.90E-05	8.068	24.921	23.424
-360.67875	6.89E-05	8.069	24.903	23.428
-360.67921	6.83E-05	8.072	24.890	23.409
-360.67877	6.85E-05	8.058	24.908	23.448
-360.67878	6.89E-05	8.062	24.886	23.444
-360.67852	6.85E-05	8.069	24.882	23.455
-360.67936	6.87E-05	8.076	24.873	23.450
-360.67947	6.84E-05	8.080	24.879	23.467
-360.67953	6.87E-05	8.087	24.857	23.483
-360.67978	6.85E-05	8.090	24.857	23.468
-360.67968	6.89E-05	8.090	24.835	23.454
-360.67938	6.83E-05	8.079	24.817	23.499
-360.67983	6.84E-05	8.090	24.817	23.491
-360.67891	6.89E-05	8.105	24.806	23.497
-360.67962	6.86E-05	8.098	24.799	23.512
-360.67925	6.86E-05	8.113	24.790	23.521
-360.67915	6.90E-05	8.117	24.788	23.503
-360.67880	6.96E-05	8.114	24.789	23.507
-360.67906	6.91E-05	8.099	24.774	23.504
-360.67923	6.92E-05	8.103	24.760	23.511
-360.67945	6.90E-05	8.097	24.755	23.542
-360.67939	6.92E-05	8.107	24.735	23.530
-360.67906	6.85E-05	8.104	24.720	23.534
-360.67933	6.89E-05	8.112	24.710	23.529
-360.67882	6.91E-05	8.109	24.712	23.531
-360.67942	6.95E-05	8.108	24.691	23.550
-360.67934	6.93E-05	8.103	24.691	23.570
-360.67956	6.90E-05	8.103	24.664	23.568
-360.67950	6.92E-05	8.098	24.659	23.542
-360.67906	6.90E-05	8.094	24.662	23.529
-360.67943	6.95E-05	8.084	24.636	23.522
-360.67905	6.92E-05	8.088	24.624	23.528
-360.67916	6.96E-05	8.098	24.621	23.531
-360.67937	6.92E-05	8.099	24.611	23.533
-360.67967	6.95E-05	8.101	24.615	23.543
-360.67980	6.91E-05	8.091	24.608	23.496
-360.67913	6.89E-05	8.067	24.582	23.499
-360.67937	6.85E-05	8.075	24.559	23.475
-360.67911	6.87E-05	8.052	24.564	23.456
