Campo(T.m)	Ang(rad)	X(um)	Y(um)	Temp(C)
-360.67963	6.96E-05	8.195	24.840	24.020
-360.67918	6.96E-05	8.203	24.844	23.974
-360.67919	6.89E-05	8.200	24.844	24.061
-360.67920	6.97E-05	8.217	24.851	24.024
-360.67889	7.02E-05	8.215	24.850	24.025
-360.67881	6.98E-05	8.218	24.856	23.973
-360.67850	7.01E-05	8.228	24.854	24.009
-360.67879	7.01E-05	8.252	24.850	24.040
-360.67845	6.99E-05	8.248	24.870	24.023
-360.67800	6.95E-05	8.255	24.872	24.058
-360.67801	6.90E-05	8.259	24.878	24.108
-360.67789	7.00E-05	8.275	24.874	24.090
-360.67816	7.00E-05	8.288	24.878	24.101
-360.67745	6.96E-05	8.297	24.892	24.085
-360.67776	6.99E-05	8.305	24.897	24.138
-360.67775	7.06E-05	8.316	24.905	24.159
-360.67705	6.96E-05	8.317	24.909	24.094
-360.67745	7.04E-05	8.323	24.916	24.144
-360.67726	6.98E-05	8.320	24.904	24.088
-360.67744	6.88E-05	8.312	24.914	24.091
-360.67659	6.97E-05	8.308	24.919	24.110
-360.67655	6.94E-05	8.320	24.922	24.107
-360.67639	6.94E-05	8.323	24.928	24.085
-360.67673	6.88E-05	8.310	24.933	24.093
-360.67644	6.91E-05	8.312	24.931	24.091
-360.67683	6.94E-05	8.314	24.938	24.114
-360.67597	6.88E-05	8.321	24.933	24.123
