Campo(T.m)	Ang(rad)	X(um)	Y(um)	Temp(C)
-360.67605	7.18E-05	7.648	24.527	23.456
-360.67624	7.08E-05	8.032	24.729	23.320
-360.67839	6.94E-05	8.033	24.748	23.292
-360.68010	6.91E-05	8.029	24.756	23.332
-360.68131	6.95E-05	8.038	24.762	23.352
-360.68215	6.92E-05	8.043	24.772	23.383
-360.68293	6.95E-05	8.053	24.805	23.420
-360.68453	7.00E-05	8.068	24.805	23.423
-360.68468	6.99E-05	8.069	24.824	23.433
-360.68546	6.99E-05	8.064	24.828	23.428
-360.68522	6.92E-05	8.063	24.830	23.434
-360.68538	6.91E-05	8.065	24.832	23.499
-360.68599	6.99E-05	8.069	24.851	23.516
-360.68523	6.93E-05	8.064	24.861	23.538
-360.68573	7.00E-05	8.070	24.866	23.515
-360.68563	7.01E-05	8.077	24.888	23.517
-360.68536	7.00E-05	8.073	24.885	23.535
-360.68626	6.96E-05	8.078	24.895	23.554
-360.68625	6.95E-05	8.080	24.909	23.610
-360.68596	6.94E-05	8.074	24.908	23.618
-360.68633	6.98E-05	8.092	24.915	23.600
-360.68579	6.95E-05	8.074	24.923	23.573
-360.68587	7.03E-05	8.096	24.930	23.585
-360.68576	7.00E-05	8.094	24.922	23.614
-360.68565	7.03E-05	8.106	24.934	23.628
-360.68569	7.06E-05	8.105	24.931	23.632
-360.68540	7.00E-05	8.113	24.932	23.663
-360.68574	7.04E-05	8.120	24.933	23.662
-360.68570	6.98E-05	8.122	24.937	23.700
-360.68517	7.07E-05	8.122	24.941	23.763
-360.68477	7.01E-05	8.105	24.951	23.750
-360.68427	6.97E-05	8.096	24.956	23.726
-360.68449	6.94E-05	8.099	24.962	23.679
-360.68440	6.99E-05	8.109	24.954	23.700
-360.68478	6.97E-05	8.102	24.951	23.701
-360.68550	6.99E-05	8.095	24.951	23.688
-360.68470	6.99E-05	8.099	24.961	23.706
-360.68447	7.02E-05	8.102	24.950	23.693
-360.68454	7.02E-05	8.095	24.949	23.659
-360.68417	6.99E-05	8.090	24.945	23.670
-360.68414	6.99E-05	8.086	24.946	23.703
-360.68490	7.04E-05	8.087	24.950	23.671
-360.68393	6.99E-05	8.082	24.936	23.702
-360.68441	6.95E-05	8.086	24.944	23.657
-360.68357	6.96E-05	8.090	24.950	23.684
-360.68395	6.97E-05	8.082	24.937	23.684
-360.68363	6.99E-05	8.073	24.932	23.668
-360.68379	6.92E-05	8.066	24.931	23.654
-360.68355	6.97E-05	8.064	24.915	23.741
-360.68339	6.98E-05	8.087	24.926	23.702
-360.68319	6.97E-05	8.082	24.934	23.728
-360.68263	6.96E-05	8.083	24.920	23.741
-360.68264	6.99E-05	8.096	24.916	23.755
-360.68269	7.00E-05	8.099	24.908	23.750
-360.68280	7.00E-05	8.102	24.906	23.772
-360.68312	6.96E-05	8.109	24.904	23.746
-360.68214	7.00E-05	8.114	24.903	23.826
-360.68146	6.98E-05	8.108	24.907	23.829
-360.68229	6.99E-05	8.131	24.909	23.827
-360.68159	6.97E-05	8.131	24.917	23.813
-360.68157	7.00E-05	8.128	24.917	23.837
-360.68179	7.03E-05	8.142	24.910	23.837
-360.68175	7.04E-05	8.147	24.905	23.845
-360.68094	7.09E-05	8.137	24.903	23.860
-360.68109	7.06E-05	8.157	24.893	23.908
-360.68101	7.07E-05	8.156	24.900	23.862
-360.68124	7.06E-05	8.146	24.898	23.869
-360.68017	7.04E-05	8.150	24.886	23.883
-360.68111	7.10E-05	8.161	24.891	23.903
-360.68054	7.07E-05	8.159	24.892	23.914
-360.68016	7.07E-05	8.171	24.896	23.985
-360.68048	7.05E-05	8.171	24.899	23.948
-360.68010	7.04E-05	8.165	24.895	23.983
-360.67976	7.02E-05	8.160	24.887	23.956
-360.67941	6.98E-05	8.157	24.906	23.885
-360.67903	6.98E-05	8.146	24.898	23.945
-360.67856	6.99E-05	8.156	24.906	23.949
-360.67860	7.02E-05	8.156	24.880	23.939
-360.67890	6.98E-05	8.161	24.884	23.913
-360.67866	6.99E-05	8.171	24.889	23.926
-360.67860	7.04E-05	8.163	24.876	23.919
-360.67895	6.97E-05	8.150	24.872	23.922
-360.67838	6.97E-05	8.144	24.874	23.916
-360.67829	7.03E-05	8.159	24.866	23.923
-360.67806	7.03E-05	8.166	24.860	23.975
-360.67803	6.98E-05	8.168	24.862	23.926
-360.67811	6.94E-05	8.159	24.872	23.932
-360.68058	6.97E-05	8.162	24.885	23.944
-360.68055	7.02E-05	8.155	24.877	23.897
-360.68030	6.99E-05	8.165	24.867	23.895
-360.68018	6.99E-05	8.156	24.866	23.934
-360.68017	6.97E-05	8.150	24.854	23.912
-360.68060	6.96E-05	8.170	24.860	23.899
-360.67980	6.99E-05	8.160	24.869	23.962
-360.67980	6.91E-05	8.152	24.853	23.923
-360.67991	6.91E-05	8.140	24.844	23.909
-360.67955	7.02E-05	8.157	24.842	23.921
-360.67920	6.98E-05	8.166	24.841	23.944
-360.67952	7.00E-05	8.174	24.849	24.004
-360.67930	7.05E-05	8.191	24.848	23.988
-360.67916	6.96E-05	8.187	24.841	23.929
-360.68010	6.95E-05	8.189	24.841	23.915
-360.67943	6.91E-05	8.181	24.834	23.903
-360.67970	6.96E-05	8.187	24.839	23.956
